record_id,category,condition,question,answer,common_symptoms,possible_cause_or_context,general_supportive_care,when_to_seek_medical_care,source_type,medical_safety_note
14,Respiratory,Influenza,Is Influenza always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
15,Respiratory,Influenza,Can Influenza be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Rest, fluids, and medical advice when appropriate and addressing known risk factors.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
16,Respiratory,Influenza,What lifestyle habits may help with Influenza?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
17,Infectious,Dengue,What are the common symptoms of Dengue?,"Common symptoms can include fever, headache, body aches, nausea, rash. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
18,Infectious,Dengue,What can cause Dengue?,A common underlying explanation is Dengue virus spread by mosquitoes. A healthcare professional can assess the individual situation and rule out other causes.,"fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
19,Infectious,Dengue,What should I do if I think I have Dengue?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Hydration and prompt medical evaluation are important.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
20,Infectious,Dengue,How can I reduce the risk of Dengue?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
21,Infectious,Dengue,When should I see a doctor for Dengue?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
22,Infectious,Dengue,Is Dengue always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
23,Infectious,Dengue,Can Dengue be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Hydration and prompt medical evaluation are important and addressing known risk factors.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
24,Infectious,Dengue,What lifestyle habits may help with Dengue?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fever, headache, body aches, nausea, rash",Dengue virus spread by mosquitoes,Hydration and prompt medical evaluation are important,"Seek urgent care for bleeding, severe abdominal pain, persistent vomiting, breathing difficulty, or extreme weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
25,Infectious,Malaria,What are the common symptoms of Malaria?,"Common symptoms can include fever, chills, sweating, headache, weakness. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
26,Infectious,Malaria,What can cause Malaria?,A common underlying explanation is Plasmodium parasites transmitted by infected mosquitoes. A healthcare professional can assess the individual situation and rule out other causes.,"fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
27,Infectious,Malaria,What should I do if I think I have Malaria?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Prompt testing and clinician-directed treatment are important.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
28,Infectious,Malaria,How can I reduce the risk of Malaria?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
29,Infectious,Malaria,When should I see a doctor for Malaria?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
30,Infectious,Malaria,Is Malaria always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
31,Infectious,Malaria,Can Malaria be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Prompt testing and clinician-directed treatment are important and addressing known risk factors.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
32,Infectious,Malaria,What lifestyle habits may help with Malaria?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fever, chills, sweating, headache, weakness",Plasmodium parasites transmitted by infected mosquitoes,Prompt testing and clinician-directed treatment are important,"Seek urgent care for confusion, seizures, breathing difficulty, collapse, or severe weakness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
33,Infectious,Typhoid Fever,What are the common symptoms of Typhoid Fever?,"Common symptoms can include fever, headache, weakness, abdominal discomfort, diarrhea or constipation. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
34,Infectious,Typhoid Fever,What can cause Typhoid Fever?,A common underlying explanation is Salmonella Typhi infection. A healthcare professional can assess the individual situation and rule out other causes.,"fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
35,Infectious,Typhoid Fever,What should I do if I think I have Typhoid Fever?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Medical testing and clinician-directed antibiotics when indicated.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
36,Infectious,Typhoid Fever,How can I reduce the risk of Typhoid Fever?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
37,Infectious,Typhoid Fever,When should I see a doctor for Typhoid Fever?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
38,Infectious,Typhoid Fever,Is Typhoid Fever always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
39,Infectious,Typhoid Fever,Can Typhoid Fever be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Medical testing and clinician-directed antibiotics when indicated and addressing known risk factors.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
40,Infectious,Typhoid Fever,What lifestyle habits may help with Typhoid Fever?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fever, headache, weakness, abdominal discomfort, diarrhea or constipation",Salmonella Typhi infection,Medical testing and clinician-directed antibiotics when indicated,"Seek care for persistent high fever, severe abdominal pain, confusion, or dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
41,Respiratory,COVID-19,What are the common symptoms of COVID-19?,"Common symptoms can include fever, cough, sore throat, fatigue, loss of taste or smell. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
42,Respiratory,COVID-19,What can cause COVID-19?,A common underlying explanation is SARS-CoV-2 infection. A healthcare professional can assess the individual situation and rule out other causes.,"fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
43,Respiratory,COVID-19,What should I do if I think I have COVID-19?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Rest, fluids, monitoring, and medical advice based on risk.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
44,Respiratory,COVID-19,How can I reduce the risk of COVID-19?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
45,Respiratory,COVID-19,When should I see a doctor for COVID-19?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
46,Respiratory,COVID-19,Is COVID-19 always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
47,Respiratory,COVID-19,Can COVID-19 be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Rest, fluids, monitoring, and medical advice based on risk and addressing known risk factors.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
48,Respiratory,COVID-19,What lifestyle habits may help with COVID-19?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","fever, cough, sore throat, fatigue, loss of taste or smell",SARS-CoV-2 infection,"Rest, fluids, monitoring, and medical advice based on risk","Seek urgent care for trouble breathing, persistent chest pain, new confusion, or inability to stay awake",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
49,Respiratory,Asthma,What are the common symptoms of Asthma?,"Common symptoms can include wheezing, cough, chest tightness, shortness of breath. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
50,Respiratory,Asthma,What can cause Asthma?,A common underlying explanation is Airway inflammation and narrowing. A healthcare professional can assess the individual situation and rule out other causes.,"wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
51,Respiratory,Asthma,What should I do if I think I have Asthma?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Follow the person's prescribed asthma action plan and avoid known triggers.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
52,Respiratory,Asthma,How can I reduce the risk of Asthma?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
53,Respiratory,Asthma,When should I see a doctor for Asthma?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
54,Respiratory,Asthma,Is Asthma always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
55,Respiratory,Asthma,Can Asthma be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Follow the person's prescribed asthma action plan and avoid known triggers and addressing known risk factors.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
56,Respiratory,Asthma,What lifestyle habits may help with Asthma?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","wheezing, cough, chest tightness, shortness of breath",Airway inflammation and narrowing,Follow the person's prescribed asthma action plan and avoid known triggers,Emergency care is needed for severe breathing difficulty or poor response to prescribed rescue treatment,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
57,Respiratory,Pneumonia,What are the common symptoms of Pneumonia?,"Common symptoms can include cough, fever, chills, shortness of breath, chest discomfort. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
58,Respiratory,Pneumonia,What can cause Pneumonia?,A common underlying explanation is Infection or inflammation of the lungs. A healthcare professional can assess the individual situation and rule out other causes.,"cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
59,Respiratory,Pneumonia,What should I do if I think I have Pneumonia?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Medical assessment is important; treatment depends on the cause.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
60,Respiratory,Pneumonia,How can I reduce the risk of Pneumonia?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
61,Respiratory,Pneumonia,When should I see a doctor for Pneumonia?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
62,Respiratory,Pneumonia,Is Pneumonia always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
63,Respiratory,Pneumonia,Can Pneumonia be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Medical assessment is important; treatment depends on the cause and addressing known risk factors.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
